date,kse_close
2016-06-30,37783.54
2016-07-04,37966.759999999995
2016-07-11,38367.96
2016-07-12,39031.619999999995
2016-07-13,39049.46
2016-07-14,39257
2016-07-15,39188.47
2016-07-18,39253.25
2016-07-19,39208.880000000005
2016-07-20,39098.78999999999
2016-07-21,39306.78999999999
2016-07-22,39151.78
2016-07-25,39017.32
2016-07-26,39147.33
2016-07-27,39434.97
2016-07-28,39468.98
2016-07-29,39528.82
2016-08-01,39800.64
2016-08-02,39786.93
2016-08-03,39615.759999999995
2016-08-04,39446.7
2016-08-05,39390.21
2016-08-08,39476.17
2016-08-09,39663.71
2016-08-10,39805.880000000005
2016-08-11,39861.6
2016-08-12,39907.64
2016-08-15,40030.52
2016-08-16,40050.17
2016-08-17,40057.52
2016-08-18,39771.2
2016-08-19,39499.08
2016-08-22,39457.950000000004
2016-08-23,39400.189999999995
2016-08-24,39506.58
2016-08-25,39792.1
2016-08-26,39926.7
2016-08-29,40023.02
2016-08-30,39991.78999999999
2016-08-31,39809.58
2016-09-01,39738.67
2016-09-02,39464.65
2016-09-05,39278.11
2016-09-06,39688.97
2016-09-07,40084.87
2016-09-08,40136.93
2016-09-09,40340.229999999996
2016-09-15,40216.350000000006
2016-09-16,40363.68
2016-09-19,40414.719999999994
2016-09-20,40340.46
2016-09-21,39771.42
2016-09-22,40135.310000000005
2016-09-23,39781.950000000004
2016-09-26,40220.759999999995
2016-09-27,40294.380000000005
2016-09-28,40355.02
2016-09-29,40295.52
2016-09-30,40541.810000000005
2016-10-03,40986.310000000005
2016-10-04,41123.97
2016-10-05,41253.46
2016-10-06,41252.17
2016-10-07,41200.48
2016-10-10,41403.97
2016-10-13,41412.04
2016-10-14,41464.310000000005
2016-10-17,41282.719999999994
2016-10-18,40954.219999999994
2016-10-19,40924.14
2016-10-20,41545.950000000004
2016-10-21,41291.43
2016-10-24,40852.03
2016-10-25,40764.759999999995
2016-10-26,40526.810000000005
2016-10-27,39987.310000000005
2016-10-28,39872.880000000005
2016-10-31,39893.840000000004
